Date,AdjustedClose,Return
08/19/20,262.59,0.10
08/18/20,262.34,0.45
08/17/20,261.16,-0.03
08/14/20,261.24,-0.02
08/13/20,261.30,0.54
08/12/20,259.89,1.47
08/11/20,256.13,-2.61
08/10/20,263.00,-2.03
08/07/20,268.44,1.19
08/06/20,265.28,6.49
08/05/20,249.12,-0.28
08/04/20,249.83,-0.85
08/03/20,251.96,-0.67
07/31/20,253.67,8.17
07/30/20,234.50,0.52
07/29/20,233.29,1.38
07/28/20,230.12,-1.45
07/27/20,233.50,1.21
07/24/20,230.71,-0.81
07/23/20,232.60,-3.03
07/22/20,239.87,-0.78
07/21/20,241.75,-1.50
07/20/20,245.42,1.40
07/17/20,242.03,0.46
07/16/20,240.93,0.27
07/15/20,240.28,0.23
07/14/20,239.73,0.31
07/13/20,239.00,-2.48
07/10/20,245.07,0.23
07/09/20,244.50,0.38
07/08/20,243.58,1.13
07/07/20,240.86,0.24
07/06/20,240.28,2.94
07/02/20,233.42,-1.74
07/01/20,237.55,4.62
06/30/20,227.07,2.91
06/29/20,220.64,2.11
06/26/20,216.08,-8.32
06/25/20,235.68,0.71
06/24/20,234.02,-3.39
06/23/20,242.24,1.26
06/22/20,239.22,0.18
06/19/20,238.79,1.21
06/18/20,235.94,0.17
06/17/20,235.53,-0.05
06/16/20,235.65,1.35
06/15/20,232.50,1.71
06/12/20,228.58,1.85
06/11/20,224.43,-5.20
06/10/20,236.73,-0.81
06/09/20,238.67,3.14
06/08/20,231.40,0.27
06/05/20,230.77,1.98
06/04/20,226.29,-1.68
06/03/20,230.16,-1.10
06/02/20,232.72,0.35
06/01/20,231.91,3.03
05/29/20,225.09,-0.16
05/28/20,225.46,-1.61
05/27/20,229.14,-1.32
05/26/20,232.20,-1.15
05/22/20,234.91,1.52
05/21/20,231.39,0.62
05/20/20,229.97,6.04
05/19/20,216.88,1.73
05/18/20,213.19,1.10
05/15/20,210.88,1.97
05/14/20,206.81,0.83
05/13/20,205.10,-2.38
05/12/20,210.10,-1.44
05/11/20,213.18,0.39
05/08/20,212.35,0.52
05/07/20,211.26,1.34
05/06/20,208.47,0.68
05/05/20,207.07,0.88
05/04/20,205.26,1.48
05/01/20,202.27,-1.19
04/30/20,204.71,5.42
04/29/20,194.19,6.17
04/28/20,182.91,-2.45
04/27/20,187.50,-1.35
04/24/20,190.07,2.67
04/23/20,185.13,1.56
04/22/20,182.28,6.72
04/21/20,170.80,-4.17
04/20/20,178.24,-0.56
04/17/20,179.24,1.70
04/16/20,176.25,-0.41
04/15/20,176.97,-0.67
04/14/20,178.17,1.93
04/13/20,174.79,-0.23
04/09/20,175.19,0.52
04/08/20,174.28,3.23
04/07/20,168.83,1.98
04/06/20,165.55,7.37
04/03/20,154.18,-2.53
04/02/20,158.19,-0.88
04/01/20,159.60,-4.32
03/31/20,166.80,0.51
03/30/20,165.95,5.84
03/27/20,156.79,-4.01
03/26/20,163.34,4.56
03/25/20,156.21,-2.96
03/24/20,160.98,8.70
03/23/20,148.10,-1.09
03/20/20,149.73,-2.22
03/19/20,153.13,4.20
03/18/20,146.96,-1.65
03/17/20,149.42,2.34
03/16/20,146.01,-14.25
03/13/20,170.28,10.23
03/12/20,154.47,-9.26
03/11/20,170.24,-4.46
03/10/20,178.19,5.13
03/09/20,169.50,-6.40
03/06/20,181.09,-2.20
03/05/20,185.17,-3.44
03/04/20,191.76,3.16
03/03/20,185.89,-5.37
03/02/20,196.44,2.06
02/28/20,192.47,1.43
02/27/20,189.75,-3.78
02/26/20,197.20,0.22
02/25/20,196.77,-1.97
02/24/20,200.72,-4.50
02/21/20,210.18,-2.05
02/20/20,214.58,-1.34
02/19/20,217.49,-0.14
02/18/20,217.80,1.69
02/14/20,214.18,0.49
02/13/20,213.14,1.13
02/12/20,210.76,1.72
02/11/20,207.19,-2.76
02/10/20,213.06,0.34
02/07/20,212.33,0.70
02/06/20,210.85,0.35
02/05/20,210.11,0.13
02/04/20,209.83,2.76
02/03/20,204.19,1.13
01/31/20,201.91,-3.64
01/30/20,209.53,-6.14
01/29/20,223.23,2.50
